   N, sym,         U_ss,         U_pp,       zeta_s,       zeta_p,       zeta_d,       beta_s,       beta_p,         g_ss,         g_sp,         g_pp,         g_p2,         h_sp,        alpha,  Gaussian1_K,  Gaussian1_L,  Gaussian1_M,  Gaussian2_K,  Gaussian2_L,  Gaussian2_M,  Gaussian3_K,  Gaussian3_L,  Gaussian3_M,  Gaussian4_K,  Gaussian4_L,  Gaussian4_M
  66,  Dy,            0,            0,            0,            0,            0,            0,            0,   55.7676495,            0,            0,            0,            0,    2.4164925,    1.0385214,    8.0016177,    1.7161372,    0.3018082,    8.7917319,    2.9953821,            0,            0,            0,            0,            0,            0
  67,  Ho,            0,            0,            0,            0,            0,            0,            0,   58.0375570,            0,            0,            0,            0,    3.5558256,    0.9819488,    8.9158637,    1.7513929,    0.5454297,    8.6358144,    3.0176829,            0,            0,            0,            0,            0,            0
  68,  Er,            0,            0,            0,            0,            0,            0,            0,   58.0489423,            0,            0,            0,            0,    3.6568233,    0.7029402,    8.7235010,    1.7746085,    0.1321262,    8.3498076,    3.0114807,            0,            0,            0,            0,            0,            0
  69,  Tm,            0,            0,            0,            0,            0,            0,            0,   55.8847434,            0,            0,            0,            0,    2.6969697,    0.9252929,    7.8636142,    1.7113099,    0.4125806,    8.5211941,    2.9817875,            0,            0,            0,            0,            0,            0
  70,  Yb,            0,            0,            0,            0,            0,            0,            0,   56.1788360,            0,            0,            0,            0,    4.0022391,    1.0231211,    8.3969198,    1.7046767,    0.3351965,    7.2817207,    2.9140122,            0,            0,            0,            0,            0,            0
  71,  Lu,            0,            0,            0,            0,            0,            0,            0,   56.1751742,            0,            0,            0,            0,    4.0203424,    1.0381639,    8.4911797,    1.7034421,    0.3342233,    7.2729947,    2.9153096,            0,            0,            0,            0,            0,            0
  72,  Hf,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  73,  Ta,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  74,   W,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  75,  Re,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  76,  Os,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  77,  Ir,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  78,  Pt,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  79,  Au,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  80,  Hg,  -19.9415780,  -11.1108700,    2.0364130,    1.9557660,            0,   -0.9086570,   -4.9093840,   10.8000000,    9.3000000,   14.3000000,   13.5000000,    1.3000000,    1.4847340,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  81,  Tl,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  82,  Pb,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  83,  Bi,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  84,  Po,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  85,  At,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
  86,  Rn,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
